# Gene Family	SRR579277_Abundance-RPKs
UniRef90_C4ZCK6|g__Eubacterium.s__Eubacterium_rectale	20.6499425288
UniRef90_A0A015V1Y5	20.4081632653
UniRef90_A0A015V1Y5|g__Bacteroides.s__Bacteroides_dorei	20.4081632653
UniRef90_B0NMB3	20.4081632653
UniRef90_B0NMB3|g__Bacteroides.s__Bacteroides_stercoris	20.4081632653
UniRef90_C7H8N3	20.1866504362
UniRef90_C7H8N3|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	20.1866504362
UniRef90_A8SFZ8	20.0000000000
UniRef90_A8SFZ8|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	20.0000000000
UniRef90_C4ZGA1	20.0000000000
UniRef90_C4ZGA1|g__Eubacterium.s__Eubacterium_rectale	20.0000000000
UniRef90_R6A6K6	20.0000000000
UniRef90_R6A6K6|g__Bacteroides.s__Bacteroides_stercoris	20.0000000000
UniRef90_A8SCH0	19.9983506515
UniRef90_A8SCH0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	19.9983506515
UniRef90_A5ZLI2	19.9646966605
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_uniformis	19.9646966605
UniRef90_D5HIH1	19.6962461147
UniRef90_D5HIH1|g__Ruminococcus.s__Ruminococcus_lactaris	19.6962461147
UniRef90_B7CBQ7	19.5126594327
UniRef90_B7CBQ7|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	19.5126594327
UniRef90_A7V6G5	19.2307692308
UniRef90_A7V6G5|g__Bacteroides.s__Bacteroides_uniformis	19.2307692308
UniRef90_I9G513	19.2307692308
UniRef90_I9G513|g__Bacteroides.s__Bacteroides_dorei	19.2307692308
UniRef90_R6IJ08	19.2307692308
UniRef90_R6IJ08|g__Bacteroides.s__Bacteroides_dorei	19.2307692308
UniRef90_A5ZSX3	18.8679245283
UniRef90_A5ZSX3|g__Blautia.s__Ruminococcus_obeum	18.8679245283
UniRef90_A7V1Z8	18.5185185185
UniRef90_A7V1Z8|g__Bacteroides.s__Bacteroides_uniformis	18.5185185185
UniRef90_B7CCH6	18.5185185185
UniRef90_B7CCH6|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	18.5185185185
UniRef90_A7V6I8	18.1818181818
UniRef90_A7V6I8|g__Bacteroides.s__Bacteroides_uniformis	18.1818181818
UniRef90_D1JZL5	18.1818181818
UniRef90_D1JZL5|g__Bacteroides.s__Bacteroides_dorei	18.1818181818
UniRef90_D4KNA0	18.1818181818
UniRef90_D4KNA0|g__Blautia.s__Ruminococcus_obeum	18.1818181818
UniRef90_C4ZCP3	17.6242236025
UniRef90_C4ZCP3|g__Eubacterium.s__Eubacterium_rectale	17.6242236025
UniRef90_A7A2P0	17.5438596491
UniRef90_A7A2P0|g__Bifidobacterium.s__Bifidobacterium_adolescentis	17.5438596491
UniRef90_A5ZYK6	17.3915666512
UniRef90_A5ZYK6|g__Blautia.s__Ruminococcus_obeum	17.3915666512
UniRef90_R6IGQ4	17.2413793103
UniRef90_R6IGQ4|g__Bacteroides.s__Bacteroides_dorei	17.2413793103
UniRef90_T4GS85	17.1474974195
UniRef90_T4GS85|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	12.9147359726
UniRef90_T4GS85|g__Blautia.s__Ruminococcus_obeum	4.2327614469
UniRef90_G2SZW3	16.6596769304
UniRef90_G2SZW3|g__Blautia.s__Ruminococcus_obeum	16.6596769304
UniRef90_K7ZQ45	16.5378413295
UniRef90_K7ZQ45|g__Bacteroides.s__Bacteroides_dorei	16.5378413295
UniRef90_C7H524	16.3934426230
UniRef90_C7H524|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	16.3934426230
UniRef90_A7V587	16.3934426230
UniRef90_A7V587|g__Bacteroides.s__Bacteroides_uniformis	16.3934426230
UniRef90_B5D195	16.3934426230
